type,trial,word,value_col,key,gendered,rightornot,duration,participant
image,1,schrijfster,3,n,1,,1.0495502948760986,mich.csv
image,2,leraar,3,n,1,,0.7642843723297119,mich.csv
image,3,kapper,1,n,1,,0.8959062099456787,mich.csv
image,4,chirug,3,n,0,,0.6706006526947021,mich.csv
image,5,burgermeester,3,n,0,,0.8021857738494873,mich.csv
image,6,schrijfster,2,n,1,,0.7865257263183594,mich.csv
image,7,boer,3,n,1,,0.6171624660491943,mich.csv
image,8,rechter,1,y,0,,0.670635461807251,mich.csv
image,9,kok,2,y,0,,0.6394679546356201,mich.csv
image,10,hoogleraar,3,n,0,,0.7864959239959717,mich.csv
image,11,schrijfster,2,n,1,,1.0182435512542725,mich.csv
image,12,kok,1,y,0,,0.7643952369689941,mich.csv
image,13,kunstenaar,2,n,1,,2.4532041549682617,mich.csv
image,14,rechter,3,n,0,,0.7331538200378418,mich.csv
image,15,rechter,2,y,0,,0.5390398502349854,mich.csv
image,16,kunstenaar,3,n,1,,0.6392488479614258,mich.csv
image,17,kapster,1,y,1,,0.7708649635314941,mich.csv
image,18,burgermeester,2,y,0,,0.5170226097106934,mich.csv
image,19,kapster,1,y,1,,0.5012900829315186,mich.csv
image,20,kapper,1,y,1,,0.9025266170501708,mich.csv
sound,1,schrijfster,2,,1,,0.0269291400909423,mich.csv
sound,2,burgermeester,2,y,0,,0.929941177368164,mich.csv
sound,3,kok,3,n,0,,0.684063196182251,mich.csv
sound,4,chirug,2,y,0,,0.9092967510223388,mich.csv
sound,5,kapster,3,n,1,,0.6420276165008545,mich.csv
sound,6,rechter,3,n,0,,0.6012618541717529,mich.csv
sound,7,schrijver,2,n,1,,1.2439184188842771,mich.csv
sound,8,boer,3,n,1,,0.5618548393249512,mich.csv
sound,9,leraar,3,n,1,,0.9094798564910888,mich.csv
sound,10,boer,1,y,1,,0.4603176116943359,mich.csv
sound,11,rechter,3,y,0,,1.105194091796875,mich.csv
sound,12,boerin,1,n,1,,0.685992956161499,mich.csv
sound,13,kapster,2,y,1,,1.329932451248169,mich.csv
sound,14,rechter,2,y,0,,0.5554749965667725,mich.csv
sound,15,boer,1,y,1,,0.5385603904724121,mich.csv
sound,16,kunstenaar,1,y,1,,1.1110293865203855,mich.csv
sound,17,verpleegkundige,3,n,0,,0.690831184387207,mich.csv
sound,18,verpleegkundige,1,y,0,,0.6665053367614746,mich.csv
sound,19,chirug,1,y,0,,0.8906466960906982,mich.csv
sound,20,verpleegkundige,1,y,0,,0.5959088802337646,mich.csv
